guide,target,active,center,scale
ATOH1_5,ATOH1,0,-0.008339,0.1154
ATOH1_6,ATOH1,0,-0.01165,0.1474
ATOH7_1,ATOH7,0,-0.003398,0.1613
ATOH7_2,ATOH7,0,-0.02727,0.3217
ATOH7_3,ATOH7,0,0.006153,0.1823
ATOH7_4,ATOH7,0,-0.03331,0.3106
ATOH7_5,ATOH7,0,-0.001175,0.173
ATOH7_6,ATOH7,0,0.007717,0.1182
ATOH8_1,ATOH8,0,-0.01093,0.3447
ATOH8_2,ATOH8,0,-0.008471,0.1388
ATOH8_3,ATOH8,0,-0.01057,0.2028
ATOH8_4,ATOH8,0,-0.01921,0.166
ATOH8_5,ATOH8,0,-0.01112,0.1574
ATOH8_6,ATOH8,0,-0.01069,0.1316
ATXN7_P1_1,ATXN7,0,0.001247,0.1907
ATXN7_P1_2,ATXN7,0,-0.01821,0.2038
ATXN7_P1_3,ATXN7,0,0.006282,0.2267
ATXN7_P1_4,ATXN7,0,-0.05051,0.422
ATXN7_P1_5,ATXN7,0,-0.003672,0.0453
ATXN7_P1_6,ATXN7,0,-0.01155,0.1305
ATXN7_P2_1,ATXN7,0,-0.0152,0.1871
ATXN7_P2_2,ATXN7,0,0.02349,0.2566
ATXN7_P2_3,ATXN7,0,-0.002037,0.2189
ATXN7_P2_4,ATXN7,0,-0.00156,0.2233
ATXN7_P2_5,ATXN7,0,-0.009907,0.1232
ATXN7_P2_6,ATXN7,0,-0.003752,0.06005
B2M,B2M,0,0.00196,0.03452
BACH1_1,BACH1,0,-0.0234,0.1698
BACH1_2,BACH1,0,-0.01931,0.3517
BACH1_3,BACH1,0,-0.01381,0.159
BACH1_4,BACH1,0,-0.04652,0.334
BACH1_5,BACH1,0,-0.003223,0.09839
BACH1_6,BACH1,0,0.001937,0.2289
BACH2_1,BACH2,0,-0.03449,0.1962
BACH2_2,BACH2,0,-0.02273,0.2183
BACH2_3,BACH2,0,-0.01061,0.3807
BACH2_4,BACH2,0,0.01576,0.2066
BACH2_5,BACH2,0,0.001006,0.1268
BACH2_6,BACH2,0,-0.01348,0.1551
BARHL1_1,BARHL1,0,-0.02074,0.2575
BARHL1_2,BARHL1,0,-0.003656,0.2235
BARHL1_3,BARHL1,0,0.02225,0.1826
BARHL1_4,BARHL1,0,-0.01939,0.1039
BARHL1_5,BARHL1,0,0.003868,0.1319
BARHL1_6,BARHL1,0,-0.008377,0.1897
BARHL2_1,BARHL2,0,0.002357,0.1682
BARHL2_2,BARHL2,0,-0.006671,0.2237
BARHL2_3,BARHL2,0,-0.004409,0.1429
BARHL2_4,BARHL2,0,-0.006987,0.2424
BARHL2_5,BARHL2,0,0.008261,0.1381
BARHL2_6,BARHL2,0,-0.0009891,0.09603
BARX1_1,BARX1,0,-0.2851,0.4638
BARX1_2,BARX1,0,0.005356,0.33
BARX1_3,BARX1,0,-0.03322,0.2247
BARX1_4,BARX1,0,-0.03409,0.3364
BARX1_5,BARX1,0,-0.006768,0.1206
BARX1_6,BARX1,0,0.007217,0.2123
BARX2_1,BARX2,0,-0.004976,0.2248
BARX2_2,BARX2,0,-0.06495,0.3444
BARX2_3,BARX2,0,-0.03211,0.2414
BARX2_4,BARX2,0,-0.03137,0.3004
BARX2_5,BARX2,0,-0.008812,0.1329
BARX2_6,BARX2,0,-0.03579,0.3141
BATF2_1,BATF2,0,-0.01279,0.2883
BATF2_2,BATF2,0,-0.001176,0.1624
BATF2_3,BATF2,0,-0.01175,0.2991
BATF2_4,BATF2,0,-0.0097,0.1742
BATF2_5,BATF2,0,-0.006182,0.09929
BATF2_6,BATF2,0,0.002882,0.08658
BATF3_1,BATF3,0,-0.001707,0.1946
BATF3_2,BATF3,0,-0.0177,0.2011
BATF3_3,BATF3,0,-0.002339,0.1729
BATF3_4,BATF3,0,-0.008311,0.1378
BATF3_5,BATF3,0,-0.003084,0.1088
BATF3_6,BATF3,0,-0.01209,0.2701
BATF_1,BATF,0,-0.01362,0.2267
BATF_2,BATF,0,-0.01467,0.2427
BATF_3,BATF,0,0.003389,0.1814
BATF_4,BATF,0,-0.01392,0.2343
BATF_5,BATF,0,-0.00278,0.1547
BATF_6,BATF,0,0.007898,0.1328
BAZ1B_1,BAZ1B,0,-0.01211,0.2216
BAZ1B_2,BAZ1B,0,-0.02038,0.1907
BAZ1B_3,BAZ1B,0,-0.007397,0.1286
BAZ1B_4,BAZ1B,0,0.00264,0.153
BAZ1B_5,BAZ1B,0,-0.007845,0.1545
BAZ1B_6,BAZ1B,0,0.004805,0.1728
BAZ2A_P1_1,BAZ2A,0,-0.01018,0.1473
BAZ2A_P1_2,BAZ2A,0,0.00318,0.2971
BAZ2A_P1_3,BAZ2A,0,-0.0117,0.1478
BAZ2A_P1_4,BAZ2A,0,-6.351e-05,0.152
BAZ2A_P1_5,BAZ2A,0,-0.0003066,0.1232
BAZ2A_P1_6,BAZ2A,0,-0.02891,0.2928
BAZ2A_P2_1,BAZ2A,0,-0.0001253,0.1159
BAZ2A_P2_2,BAZ2A,0,0.0003866,0.216
BAZ2A_P2_3,BAZ2A,0,-0.01136,0.2861
BAZ2A_P2_4,BAZ2A,0,-0.01189,0.1465
BAZ2A_P2_5,BAZ2A,0,-0.007218,0.1312
BAZ2A_P2_6,BAZ2A,0,-0.00557,0.1273
BAZ2B_1,BAZ2B,0,-0.006482,0.1416
BAZ2B_2,BAZ2B,0,-0.004581,0.1361
BAZ2B_3,BAZ2B,0,0.001174,0.1721
BAZ2B_4,BAZ2B,0,-0.006888,0.1646
BAZ2B_5,BAZ2B,0,0.0007618,0.04233
BAZ2B_6,BAZ2B,0,0.002818,0.1649
BBX_1,BBX,0,0.005667,0.1175
BBX_2,BBX,0,-0.01037,0.3036
BBX_3,BBX,0,-0.03708,0.3395
BBX_4,BBX,0,0.001723,0.1363
BBX_5,BBX,0,-0.004877,0.1321
BBX_6,BBX,0,-0.007088,0.1188
BCL11A_1,BCL11A,0,-0.005458,0.1781
BCL11A_2,BCL11A,0,-0.01552,0.1875
BCL11A_3,BCL11A,0,-0.06226,0.4173
BCL11A_4,BCL11A,0,-0.007401,0.1741
BCL11A_5,BCL11A,0,-0.002028,0.08524
BCL11A_6,BCL11A,0,-0.002787,0.1141
BCL11B_1,BCL11B,0,-0.03042,0.3451
